98, 5, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 107, 8, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 98, 4, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 91, 3, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 100, 5, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 82, 4, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 103, 7, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 101, 2, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 97, 4, 
6, 0, 0, 0, 0, 0, 0, 0, 0, 99, 


4, 53, 164, 0.3231707317073171
5, 79, 294, 0.2687074829931973
6, 99, 365, 0.27123287671232876
7, 111, 427, 0.25995316159250587
8, 118, 468, 0.25213675213675213
9, 119, 484, 0.24586776859504134
10, 114, 493, 0.23123732251521298
43, 1, 0, 0, 0, 0, 3, 0, 3, 0, 
34, 16, 0, 0, 0, 0, 12, 0, 0, 2, 
10, 5, 0, 0, 1, 0, 24, 0, 2, 1, 
18, 7, 1, 0, 0, 0, 15, 3, 0, 1, 
8, 1, 0, 0, 1, 0, 39, 0, 1, 0, 
11, 2, 0, 0, 0, 0, 26, 1, 0, 0, 
4, 3, 0, 0, 0, 0, 43, 0, 0, 2, 
13, 4, 0, 0, 1, 0, 28, 2, 0, 2, 
37, 3, 0, 0, 0, 0, 0, 0, 3, 1, 
31, 15, 0, 0, 0, 0, 3, 0, 0, 6, 


new noise rate, 0.014000000000000012
4, 101, 496, 0.20362903225806453
5, 95, 497, 0.19114688128772636
6, 93, 497, 0.18712273641851107
7, 90, 498, 0.18072289156626506
8, 90, 500, 0.18
9, 90, 500, 0.18
10, 89, 500, 0.178
47, 0, 0, 0, 0, 0, 4, 0, 0, 0, 
43, 0, 0, 0, 0, 0, 22, 0, 0, 0, 
17, 1, 0, 0, 0, 0, 25, 0, 0, 0, 
25, 0, 0, 0, 0, 0, 22, 0, 0, 0, 
10, 0, 0, 0, 0, 0, 40, 0, 0, 0, 
14, 0, 0, 0, 0, 0, 26, 0, 0, 0, 
10, 1, 0, 0, 0, 0, 42, 0, 0, 0, 
19, 0, 0, 0, 0, 0, 31, 0, 0, 0, 
43, 0, 0, 0, 0, 0, 2, 0, 0, 0, 
49, 0, 0, 0, 0, 0, 7, 0, 0, 0, 


new noise rate, 0.0
